Ticket No,Priority,State,Category,Issue,Skill Team,Hosting,Create Date,Picked Date,Completed Date,Assignee,Customer Rating,Outcome,Escalated,Reached via
T128,High,Virginia,Cyber Consultation,New Application Launch,Manufacturing,Vendor Cloud,08-04-2021 12:53,08-04-2021 12:54,08-04-2021 22:00,Aleena,Good (4),Resolved,,Ticket Portal
T129,Low,Ohio,Data Privacy,Privacy Assessment,Marketing,On Prem Server,08-04-2021 18:58,08-04-2021 19:08,12-04-2021 14:37,Cinderalla,Excellent (5),Advised for a risk assessment,,Personal Call
T13,Low,California,Data Leak,Insider Threat,HR,On Prem Cloud,07-01-2021 17:14,07-01-2021 18:23,18-01-2021 11:03,Allan,Excellent (5),Resolved,,Ticket Portal
T130,Medium,New York,Security Gap,Unauthorized software,Finance,On Prem Server,08-04-2021 19:26,08-04-2021 19:45,12-04-2021 09:28,Aleena,Unsatisfactory (2),Recommended Threat Assessment,No,Ticket Portal
T131,Low,Arizona,Data Privacy,HIPAA,Finance,On Prem Cloud,10-04-2021 01:56,10-04-2021 02:02,28-04-2021 04:14,Martina,Excellent (5),Recommended Threat Assessment,,Personal Call
T132,High,Georgia,Cyber Security Breach,Firewall,Finance,On Prem Cloud,12-04-2021 14:04,12-04-2021 14:06,13-04-2021 18:45,Aleena,Satisfactory (3),Resolved,,Ticket Portal
T133,Low,Arizona,Cyber Consultation,Application Offboarding,IT,Vendor Cloud,12-04-2021 16:39,12-04-2021 16:43,19-04-2021 17:00,Aleena,Satisfactory (3),Resolved,,Mail
T134,High,Texas,Cyber Security Breach,Spyware,Marketing,On Prem Server,12-04-2021 20:14,12-04-2021 20:14,06-05-2021 12:53,Robbin,Good (4),Advised for a risk assessment,,Ticket Portal
T135,High,California,Data Privacy,PCI-DSS,Finance,On Prem Server,12-04-2021 20:17,12-04-2021 20:18,16-04-2021 12:57,Robbin,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T136,High,New York,Cyber Security Breach,Trojan Attack,Finance,On Prem Cloud,13-04-2021 14:45,13-04-2021 14:48,15-04-2021 14:21,Sebastian,Unsatisfactory (2),Resolved,No,Mail
T137,Medium,New York,Cyber Consultation,Segregation of Duties,Finance,On Prem Cloud,13-04-2021 18:25,13-04-2021 18:49,19-04-2021 14:07,Kareema,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T138,Low,California,Data Leak,Phishing,Marketing,On Prem Server,13-04-2021 22:55,13-04-2021 23:29,05-05-2021 20:51,Sean,Excellent (5),Advised for a risk assessment,,Ticket Portal
T139,High,Massachusetts,Data Leak,Vishing,HR,On Prem Server,14-04-2021 21:46,14-04-2021 21:49,19-04-2021 18:13,Michael,Excellent (5),Advised for a risk assessment,,Ticket Portal
T14,High,Florida,Cyber Consultation,Encryption,IT,On Prem Server,07-01-2021 20:22,07-01-2021 20:23,11-01-2021 17:45,Veronica,Unsatisfactory (2),Resolved,No,Mail
T140,High,Ohio,Cyber Consultation,Access Management,Legal,On Prem Server,15-04-2021 18:16,15-04-2021 18:20,19-04-2021 09:53,Michael,Excellent (5),Advised for a risk assessment,,Personal Call
T141,Low,Texas,Data Leak,Insider Threat,Finance,Vendor Cloud,15-04-2021 18:50,15-04-2021 18:51,15-04-2021 18:53,Michael,Excellent (5),Resolved,,Ticket Portal
T142,High,New Mexico,Data Privacy,HIPAA,Finance,Vendor Cloud,15-04-2021 20:16,15-04-2021 20:18,20-04-2021 15:50,Cinderalla,Excellent (5),Resolved,,Ticket Portal
T143,Low,Texas,Data Privacy,GDPR,Legal,On Prem Server,16-04-2021 18:38,16-04-2021 18:40,27-04-2021 20:27,Aleena,Good (4),Resolved,,Ticket Portal
T144,High,New York,Data Leak,Vishing,Finance,On Prem Cloud,19-04-2021 11:21,19-04-2021 11:22,19-04-2021 19:32,Charlotte,Excellent (5),Advised for a risk assessment,,Ticket Portal
T145,Medium,Nevada,Security Gap,Password non-expiry,IT,On Prem Server,19-04-2021 14:05,19-04-2021 14:06,27-04-2021 11:05,Kareema,Excellent (5),Resolved,,Ticket Portal
T146,Low,California,Data Privacy,GDPR,Manufacturing,Vendor Cloud,19-04-2021 15:49,19-04-2021 15:51,19-04-2021 15:51,Charles,Excellent (5),Advised for a risk assessment,,Ticket Portal
T147,Medium,Illinois,Data Privacy,Privacy Assessment,IT,On Prem Server,19-04-2021 16:50,19-04-2021 16:51,20-04-2021 11:04,Michael,Good (4),Resolved,,Personal Call
T148,Low,California,Cyber Consultation,New Application Launch,IT,On Prem Cloud,20-04-2021 07:11,20-04-2021 07:15,30-06-2021 09:29,Michael,Excellent (5),Resolved,,Ticket Portal
T149,High,Pennsylvania,Cyber Security Breach,Malware Attack,HR,On Prem Cloud,20-04-2021 14:36,20-04-2021 14:37,20-04-2021 15:15,Michael,Good (4),Resolved,,Ticket Portal
T15,Low,Georgia,Data Privacy,PCI-DSS,Legal,Vendor Cloud,10-01-2021 17:10,10-01-2021 17:15,20-01-2021 10:34,Bob,Satisfactory (3),Advised for a risk assessment,,Personal Call
T150,Low,California,Security Gap,Unauthorized access,IT,Vendor Cloud,20-04-2021 15:37,20-04-2021 15:45,23-04-2021 18:44,Cinderalla,Good (4),Resolved,,Ticket Portal
T151,High,Utah,Data Privacy,GDPR,Marketing,On Prem Server,20-04-2021 17:31,20-04-2021 17:37,20-04-2021 20:30,Martina,Satisfactory (3),Recommended Threat Assessment,,Mail
T152,Low,North Carolina,Data Privacy,HIPAA,Marketing,On Prem Server,20-04-2021 17:55,20-04-2021 17:57,27-04-2021 19:50,Sebastian,Unsatisfactory (2),Recommended Threat Assessment,No,Mail
T153,Low,Arizona,Data Privacy,HIPAA,HR,On Prem Server,20-04-2021 18:45,20-04-2021 18:45,20-04-2021 18:47,Sean,Excellent (5),Resolved,,Mail
T154,High,Texas,Cyber Consultation,New Application Launch,Finance,On Prem Cloud,20-04-2021 19:59,20-04-2021 19:59,21-04-2021 12:56,Sean,Unsatisfactory (2),Recommended Threat Assessment,No,Ticket Portal
T155,High,Florida,Cyber Security Breach,Firewall,HR,On Prem Server,20-04-2021 23:49,21-04-2021 11:23,21-04-2021 11:23,Sean,Satisfactory (3),Resolved,,Personal Call
T156,High,Minnesota,Cyber Consultation,Third Party Engagement,IT,On Prem Server,21-04-2021 10:56,21-04-2021 10:59,21-04-2021 11:00,Sean,Good (4),Resolved,,Ticket Portal
T157,Medium,North Carolina,Data Privacy,PCI-DSS,IT,Vendor Cloud,21-04-2021 11:45,21-04-2021 11:45,22-04-2021 14:50,Kareema,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T158,Medium,California,Cyber Consultation,Segregation of Duties,Manufacturing,On Prem Server,21-04-2021 11:58,21-04-2021 11:59,22-04-2021 14:49,Kareema,Good (4),Resolved,,Mail
T159,Medium,Florida,Cyber Consultation,Application Offboarding,IT,On Prem Server,21-04-2021 22:38,21-04-2021 23:30,26-04-2021 19:35,Martina,Good (4),Advised for a risk assessment,,Ticket Portal
T16,Medium,California,Data Leak,Vishing,Marketing,On Prem Server,10-01-2021 17:10,10-01-2021 17:15,20-01-2021 10:34,Bob,Excellent (5),Advised for a risk assessment,,Mail
T160,High,California,Cyber Security Breach,Firewall,Marketing,Vendor Cloud,22-04-2021 02:13,22-04-2021 09:47,03-05-2021 09:49,Sean,Excellent (5),Resolved,,Ticket Portal
T161,High,California,Cyber Consultation,Segregation of Duties,IT,On Prem Server,22-04-2021 10:17,22-04-2021 10:18,22-04-2021 12:40,Allan,Excellent (5),Resolved,,Mail
T162,Low,California,Cyber Consultation,Application Offboarding,Finance,On Prem Server,22-04-2021 11:08,22-04-2021 11:11,22-04-2021 12:35,Allan,Good (4),Recommended Threat Assessment,,Mail
T163,Low,Virginia,Security Gap,Unauthorized access,HR,On Prem Server,22-04-2021 11:18,22-04-2021 11:18,22-04-2021 12:33,Allan,Good (4),Advised for a risk assessment,,Personal Call
T164,Medium,Arizona,Cyber Consultation,Application Offboarding,HR,Vendor Cloud,22-04-2021 14:54,22-04-2021 14:54,27-04-2021 11:00,Kareema,Unsatisfactory (2),Recommended Threat Assessment,No,Personal Call
T165,Low,New York,Cyber Consultation,Encryption,HR,On Prem Server,22-04-2021 15:21,22-04-2021 15:22,22-04-2021 18:59,Kareema,Unsatisfactory (2),Advised for a risk assessment,No,Ticket Portal
T166,Medium,New York,Cyber Consultation,New Application Launch,HR,On Prem Server,23-04-2021 13:18,23-04-2021 13:22,26-04-2021 14:13,Sean,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T167,Low,Oregon,Data Privacy,GDPR,Finance,On Prem Cloud,23-04-2021 16:42,23-04-2021 16:44,23-04-2021 17:07,Bob,Good (4),Resolved,,Ticket Portal
T168,High,Illinois,Security Gap,Obsolete Software,IT,Vendor Cloud,25-04-2021 16:48,25-04-2021 16:48,25-04-2021 16:48,Bob,Excellent (5),Resolved,,Ticket Portal
T169,High,Minnesota,Cyber Security Breach,Malware Attack,HR,On Prem Server,25-04-2021 16:50,26-04-2021 06:57,18-05-2021 17:58,Robbin,Excellent (5),Advised for a risk assessment,,Personal Call
T17,Low,New York,Data Leak,Phishing,Manufacturing,Vendor Cloud,10-01-2021 17:24,10-01-2021 17:26,21-01-2021 20:07,Aleena,Unsatisfactory (2),Resolved,No,Ticket Portal
T170,Low,Florida,Data Privacy,HIPAA,Legal,On Prem Cloud,26-04-2021 14:26,26-04-2021 14:30,28-04-2021 13:05,Veronica,Satisfactory (3),Resolved,,Ticket Portal
T171,High,Florida,Cyber Security Breach,Trojan Attack,Marketing,On Prem Server,26-04-2021 21:59,27-04-2021 11:01,24-06-2021 15:37,Bob,Unsatisfactory (2),Advised for a risk assessment,Yes,Ticket Portal
T172,Low,Arizona,Data Privacy,HIPAA,Legal,Vendor Cloud,27-04-2021 19:03,27-04-2021 19:07,18-05-2021 16:00,Charlotte,Excellent (5),Advised for a risk assessment,,Mail
T173,Medium,Missouri,Cyber Consultation,Third Party Engagement,HR,Vendor Cloud,27-04-2021 19:03,27-04-2021 19:07,18-05-2021 16:00,Charlotte,Unsatisfactory (2),Advised for a risk assessment,Yes,Ticket Portal
T174,High,Louisiana,Cyber Security Breach,Malware Attack,IT,On Prem Server,27-04-2021 19:20,27-04-2021 19:31,29-04-2021 21:00,Sylviya,Excellent (5),Resolved,,Ticket Portal
T175,High,Tennessee,Data Privacy,PCI-DSS,HR,On Prem Server,27-04-2021 19:20,27-04-2021 19:31,29-04-2021 21:00,Sylviya,Excellent (5),Advised for a risk assessment,,Mail
T176,Low,Virginia,Data Privacy,Privacy Assessment,HR,Vendor Cloud,28-04-2021 21:21,28-04-2021 21:24,30-04-2021 18:00,Martina,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T177,High,Kansas,Security Gap,Password non-expiry,HR,Vendor Cloud,28-04-2021 21:21,28-04-2021 21:24,30-04-2021 18:00,Martina,Good (4),Advised for a risk assessment,,Personal Call
T178,Medium,Virginia,Cyber Consultation,Encryption,Finance,On Prem Server,28-04-2021 21:49,28-04-2021 22:09,14-05-2021 00:11,Sean,Satisfactory (3),Advised for a risk assessment,,Mail
T179,Low,Arizona,Data Privacy,HIPAA,IT,On Prem Server,28-04-2021 21:49,28-04-2021 22:09,14-05-2021 00:11,Sean,Excellent (5),Advised for a risk assessment,,Mail
T18,High,California,Cyber Security Breach,Firewall,IT,On Prem Server,10-01-2021 17:24,10-01-2021 17:26,21-01-2021 20:07,Aleena,Satisfactory (3),Advised for a risk assessment,,Mail
T180,Low,Pennsylvania,Cyber Consultation,New Application Launch,HR,On Prem Server,28-04-2021 22:11,28-04-2021 22:11,28-04-2021 22:11,Sean,Satisfactory (3),Resolved,,Personal Call
T181,Low,Colorado,Security Gap,Password non-expiry,HR,Vendor Cloud,28-04-2021 22:11,28-04-2021 22:11,28-04-2021 22:11,Sean,Good (4),Advised for a risk assessment,,Ticket Portal
T182,Low,Illinois,Data Privacy,HIPAA,Finance,On Prem Server,28-04-2021 22:17,28-04-2021 22:19,04-05-2021 16:20,Sean,Unsatisfactory (2),Resolved,Yes,Personal Call
T183,High,Illinois,Cyber Security Breach,Firewall,Finance,On Prem Server,28-04-2021 22:17,28-04-2021 22:19,04-05-2021 16:20,Sean,Good (4),Resolved,,Ticket Portal
T184,Low,Texas,Data Privacy,HIPAA,Finance,Vendor Cloud,29-04-2021 01:56,29-04-2021 07:47,16-07-2021 12:57,Robbin,Good (4),Advised for a risk assessment,,Mail
T185,High,Oregon,Cyber Consultation,Application Offboarding,Manufacturing,On Prem Server,29-04-2021 01:56,29-04-2021 07:47,16-07-2021 12:57,Robbin,Satisfactory (3),Recommended Threat Assessment,,Mail
T186,Low,New York,Data Leak,Phishing,IT,Vendor Cloud,29-04-2021 14:28,29-04-2021 14:29,27-09-2021 18:58,Robbin,Unsatisfactory (2),Resolved,Yes,Mail
T187,High,Indiana,Data Privacy,GDPR,Manufacturing,On Prem Cloud,29-04-2021 15:28,29-04-2021 15:28,29-04-2021 15:28,Bob,Excellent (5),Advised for a risk assessment,,Mail
T188,High,Texas,Data Privacy,HIPAA,HR,Vendor Cloud,29-04-2021 17:25,29-04-2021 17:25,29-04-2021 20:05,Bob,Satisfactory (3),Recommended Threat Assessment,,Ticket Portal
T189,Low,Virginia,Data Leak,Insider Threat,IT,Vendor Cloud,29-04-2021 17:29,29-04-2021 17:30,29-04-2021 17:30,Bob,Good (4),Resolved,,Ticket Portal
T19,High,Virginia,Cyber Security Breach,Spyware,Finance,On Prem Server,11-01-2021 12:15,11-01-2021 12:16,13-01-2021 22:08,Charlotte,Excellent (5),Advised for a risk assessment,,Personal Call
T190,Medium,Ohio,Data Privacy,HIPAA,HR,On Prem Server,29-04-2021 17:30,29-04-2021 17:47,29-04-2021 20:05,Bob,Excellent (5),Resolved,,Ticket Portal
T191,High,Ohio,Data Privacy,Privacy Assessment,Finance,Vendor Cloud,30-04-2021 10:31,30-04-2021 11:49,30-04-2021 18:57,Bob,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T192,Medium,Delaware,Data Privacy,Privacy Assessment,Marketing,On Prem Cloud,30-04-2021 16:10,30-04-2021 16:11,13-05-2021 17:18,Bob,Excellent (5),Resolved,,Ticket Portal
T193,Low,Tennessee,Cyber Consultation,New Application Launch,HR,On Prem Cloud,30-04-2021 17:12,30-04-2021 17:19,04-05-2021 16:04,Charles,Good (4),Advised for a risk assessment,,Ticket Portal
T194,High,California,Data Privacy,GDPR,IT,Vendor Cloud,03-05-2021 12:46,03-05-2021 12:48,03-06-2021 16:35,Bob,Excellent (5),Advised for a risk assessment,,Ticket Portal
T195,High,California,Data Privacy,GDPR,IT,On Prem Server,03-05-2021 22:09,03-05-2021 22:12,10-05-2021 18:32,Martina,Good (4),Resolved,,Ticket Portal
T196,Low,Minnesota,Cyber Consultation,BCP/DR,IT,On Prem Server,04-05-2021 09:52,04-05-2021 10:12,17-05-2021 09:44,Bob,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T197,High,Maryland,Cyber Security Breach,Firewall,HR,Vendor Cloud,04-05-2021 10:11,04-05-2021 10:11,04-05-2021 11:43,Allan,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T198,High,Arizona,Cyber Security Breach,Malware Attack,Finance,On Prem Cloud,04-05-2021 10:26,04-05-2021 10:27,04-05-2021 11:47,Allan,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T199,Low,New York,Security Gap,Password non-expiry,IT,On Prem Server,04-05-2021 10:55,04-05-2021 10:55,18-05-2021 11:06,Allan,Excellent (5),Advised for a risk assessment,,Ticket Portal
T20,Low,California,Data Privacy,HIPAA,Finance,On Prem Server,11-01-2021 17:17,11-01-2021 17:18,13-01-2021 11:46,Kareema,Excellent (5),Resolved,,Ticket Portal
T200,High,California,Cyber Security Breach,Malware Attack,Legal,On Prem Cloud,04-05-2021 21:58,04-05-2021 22:13,11-05-2021 12:20,Charlotte,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T201,Low,California,Cyber Consultation,New Application Launch,Finance,Vendor Cloud,05-05-2021 00:00,05-05-2021 09:24,07-05-2021 21:30,Sebastian,Satisfactory (3),Resolved,,Mail
T202,High,Texas,Cyber Consultation,Application Offboarding,Marketing,On Prem Server,05-05-2021 21:27,05-05-2021 21:45,07-05-2021 20:14,Charlotte,Good (4),Advised for a risk assessment,,Ticket Portal
T203,High,Utah,Data Leak,Insider Threat,IT,On Prem Server,05-05-2021 21:33,28-04-2021 22:11,10-05-2021 18:30,Martina,Good (4),Recommended Threat Assessment,,Ticket Portal
T204,High,New Jersey,Data Privacy,HIPAA,Legal,Vendor Cloud,06-05-2021 19:36,08-07-2021 01:39,11-05-2021 10:17,Bob,Unsatisfactory (2),Advised for a risk assessment,Yes,Mail
T205,Low,California,Cyber Consultation,Segregation of Duties,Manufacturing,Vendor Cloud,06-05-2021 19:47,06-05-2021 20:09,10-05-2021 11:04,Sylviya,Good (4),Advised for a risk assessment,,Ticket Portal
T206,High,Utah,Data Privacy,HIPAA,Legal,On Prem Cloud,06-05-2021 23:44,06-05-2021 23:57,10-05-2021 17:53,Martina,Good (4),Recommended Threat Assessment,,Mail
T207,High,Missouri,Data Privacy,GDPR,Manufacturing,On Prem Server,06-05-2021 23:44,06-05-2021 23:57,10-05-2021 17:53,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal
T208,Low,Louisiana,Data Leak,Insider Threat,IT,On Prem Cloud,07-05-2021 14:38,07-05-2021 14:41,03-09-2021 17:36,Kareema,Good (4),Advised for a risk assessment,,Ticket Portal
T209,Medium,California,Security Gap,Obsolete Software,Marketing,Vendor Cloud,07-05-2021 14:38,07-05-2021 14:41,03-09-2021 17:36,Kareema,Satisfactory (3),Resolved,,Ticket Portal
T21,High,New York,Data Leak,Insider Threat,HR,On Prem Cloud,11-01-2021 17:17,11-01-2021 17:18,13-01-2021 11:46,Kareema,Unsatisfactory (2),Resolved,No,Ticket Portal
T210,High,California,Cyber Consultation,Application Offboarding,IT,On Prem Cloud,07-05-2021 17:14,07-05-2021 18:23,18-05-2021 11:03,Allan,Good (4),Resolved,,Ticket Portal
T211,Low,California,Data Leak,Insider Threat,HR,On Prem Cloud,07-05-2021 17:14,07-05-2021 18:23,18-05-2021 11:03,Allan,Excellent (5),Resolved,,Ticket Portal
T212,High,Florida,Cyber Consultation,Encryption,IT,On Prem Server,07-05-2021 20:22,07-05-2021 20:23,11-05-2021 17:45,Veronica,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T213,High,Michigan,Data Leak,Insider Threat,IT,Vendor Cloud,07-05-2021 20:22,07-05-2021 20:23,11-05-2021 17:45,Veronica,Good (4),Resolved,,Mail
T214,Low,Georgia,Data Privacy,PCI-DSS,Legal,Vendor Cloud,10-05-2021 17:10,10-05-2021 17:15,20-05-2021 10:34,Bob,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T215,Medium,California,Data Leak,Vishing,Marketing,On Prem Server,10-05-2021 17:10,10-05-2021 17:15,20-05-2021 10:34,Bob,Excellent (5),Advised for a risk assessment,,Personal Call
T216,Low,New York,Data Leak,Phishing,Manufacturing,Vendor Cloud,10-05-2021 17:24,10-05-2021 17:26,21-05-2021 20:07,Aleena,Unsatisfactory (2),Resolved,,Ticket Portal
T217,High,California,Cyber Security Breach,Firewall,IT,On Prem Server,10-05-2021 17:24,10-05-2021 17:26,21-05-2021 20:07,Aleena,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T218,High,Virginia,Cyber Security Breach,Spyware,Finance,On Prem Server,11-05-2021 12:15,11-05-2021 12:16,13-05-2021 22:08,Charlotte,Excellent (5),Advised for a risk assessment,,Ticket Portal
